objectid,tree_species,global_id,creation_date,edit_date,tree_condition,sun_exposure,is_it_within_18_meters_of_a_building,trunk_circumference_cm,co2_uptake_annual,carbon_sequestered_annual_kg,co2_equivalent_annual_kg,storm_water_mitigation_annual,runoff_avoided_annual_l,rainfall_intercepted_annual_l,air_pollution_removal_annual,carbon_monoxide_removed_annual_g,ozone_removed_annual_g,nitrogen_dioxide_removed_annual_g,sulfur_dioxide_removed_annual_g,pm2_5_removed_annual_g,carbon_dioxide_uptake_to_date,carbon_storage_to_date_kg,co2_equivalent_to_date_kg,how_old_is_the_building,how_far_is_it_from_the_building,direction_from_tree_to_building,energy_usage_per_year,electricity_savings_per_year_k_wh,heating_fuel_savings_per_year_mm_btu,avoided_energy_emissions_per_year,avoided_co2_emissions_per_year_kg,avoided_co_emissions_per_year_g,avoided_no2_emissions_per_year_g,avoided_so2_emissions_per_year_g,avoided_pm2_5_emissions_per_year_g,y_coord_lat,x_coord_long,lab_group,x,y
117,Red Oak,8436571f-b743-40e4-aeb8-a06dcd47ac16,4/10/2025 2:32:02 PM,4/10/2025 3:04:06 PM,Excellent,Full,No,175.5,16.1,33.75,123.74,2.19,928,7498.4,3.27,1.83,406.35,9.04,12.89,18.81,451.76,947.09,3472.66,NA tree is not within 60 feet of a building,19 meters or more,NA tree is not within 60 feet of a building,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.956022,76.881318,10am lab - group 06,-76.8812488344326,40.9559231062979
118,White Oak,dfa08303-95b3-4609-a976-0abcb3d337ba,4/10/2025 2:32:06 PM,4/10/2025 3:26:48 PM,Excellent,Full,Yes,385,3.18,6.66,24.41,8.79,3724.22,30092.23,2.69,4.84,576.97,10.18,20.04,9.84,2998.51,6286.8,23049.33,Built before 1950,6-12 meters,Southwest (225%),21.74,12.91,1.69,19.7,150.19,33.76,29.14,761.89,2.46,NA,NA,10am lab - group 07,-76.8814899620178,40.9563144776839
119,White Oak,a8624164-b2ca-4575-9cdc-91d820226893,4/10/2025 2:32:37 PM,4/10/2025 3:33:43 PM,Good,Full,Yes,129.5,3.83,8.04,29.47,0.99,417.86,3376.35,1.25,0.87,173.57,3.72,5.59,6.8,2.41,2.25,0.18,Not within 60 feet of a building,12-18 meters,Northeast (45 deg),2.12,16.31,3.81,3.16,82.74,0.37,243.96,511.44,1875.27,NA,NA,10am lab - group 03,-76.8812153362557,40.9564399730481
120,Basswood,0807e890-0f99-443b-adce-0a5512aeda44,4/10/2025 2:32:51 PM,4/10/2025 3:05:35 PM,Poor,Full,Yes,406,3.99,8.37,30.71,3.44,1455.93,11764.09,2.69,4.64,566.01,10.07,19.6,10.02,1879.97,3941.23,14451.17,Built before 1950,12-18 meters,Northeast (45 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 04,-76.8825312729255,40.9563554689412
121,White Oak,bd5d316d-6cff-4c17-882e-044dc8882449,4/10/2025 2:34:26 PM,4/10/2025 3:04:12 PM,Excellent,Full,Yes,317,22.92,40.05,176.2,6.4,2711.06,21905.73,4.63,5.36,819.36,15.87,27.44,20.88,2067.58,4334.54,15893.32,Built before 1950,12-18 meters,Northeast (45 deg),8.49,18.79,0.5,6.84,52.59,14.29,10.2,266.78,2.5,NA,NA,10am lab - group 07,-76.8814796583415,40.9564420021874
122,Sugar Maple,39a28faa-96e9-4b25-9c57-df9429a44d4f,4/10/2025 2:35:10 PM,4/10/2025 3:13:46 PM,Good,Full,No,26.4,0.94,1.97,7.23,0.19,79.47,642.16,0.23,0.17,32.11,0.68,1.04,1.2,5.95,12.48,45.77,NA tree is not within 60 feet of a building,19 meters or more,Northwest (315 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 01,-76.8813083334472,40.9560666666674
123,Crabapple,131452c9-ca4b-4266-bc2e-b502d6b482da,4/10/2025 2:35:14 PM,4/10/2025 3:12:06 PM,Excellent,Partial,Yes,36.2,1.07,2.24,8.22,0.32,133.65,1079.88,0.26,0.26,43.08,0.85,1.43,1.22,11.45,23.99,87.98,Built before 1950,12-18 meters,West (270 deg),3.11,2.71,0.23,2.74,21.09,4.9,4.09,106.99,0.45,NA,NA,10am lab - group 02,-76.8813800414647,40.956292642173
125,White Oak,3ecef004-f1e9-45ed-aa4c-235f32146ed2,4/10/2025 2:35:17 PM,4/10/2025 3:00:41 PM,Excellent,Full,No,287,0.64,1.33,4.89,3.73,1578.78,12756.73,3.37,3.12,538.84,10.92,17.72,16.7,1293.35,2711.42,9941.86,Not within 60 feet of a building,19 meters or more,East (90 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 03,-76.8812153093063,40.9562826043213
126,Flowering Dogwood,b2065e91-8176-47e1-8a37-015a1a654420,4/10/2025 2:36:51 PM,4/10/2025 3:14:00 PM,Good,Partial,Yes,89,4.02,8.43,30.9,0.77,325.73,2631.94,0.82,0.68,124.34,2.58,4.05,4.25,112.64,236.15,865.88,Built before 1950,6-12 meters,Northwest (315 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 04,-76.8824649997154,40.9564516668867
127,Sugar Maple,bb0679dd-009b-4c42-a222-baca25051b73,4/10/2025 2:37:02 PM,4/10/2025 3:11:05 PM,Excellent,Full,Yes,138,8.91,18.67,68.47,0.85,359.62,2905.79,2.3,0.71,207.37,5.12,6.31,14.95,291.73,611.6,2242.53,Built before 1950,12-18 meters,East (90 deg),24.38,100.67,0.89,17.2,130.33,44.75,25.28,661.17,12.41,NA,NA,10am lab - group 06,-76.8812255015915,40.9560953597081
128,Crabapple,4c510a66-3caa-4213-84d0-f417477be562,4/10/2025 2:37:08 PM,4/10/2025 3:14:23 PM,Excellent,Partial,No,40.5,1.25,2.61,9.58,0.36,151.63,1225.2,0.31,0.3,50.43,1.01,1.67,1.5,14.83,31.1,114.02,Not within 60 feet of a building,19 meters or more,West (270 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 02,-76.8813210185573,40.9563106561647
130,Red Maple,1339752f-42e0-4574-a225-ed344f76ccd6,4/10/2025 2:39:22 PM,4/10/2025 3:10:31 PM,Good,Full,No,46.4,3.37,7.06,25.88,0.26,108.88,879.2,0.35,0.23,46.65,1.01,1.49,1.92,19.84,41.59,152.51,Not within 60 feet of a building,19 meters or more,Northeast (45 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 01,-76.8813683337216,40.9560383331763
131,Sugar Maple,1b78af71-d774-49d7-9b4b-7911ac844437,4/10/2025 2:41:38 PM,4/10/2025 3:11:30 PM,Good,Partial,Yes,158,7.08,14.84,54.43,0.89,378.74,3060.3,2.52,0.79,228.64,5.63,6.97,16.34,501.2,1050.74,3852.7,Not within 60 feet of a building,12-18 meters,Southwest (225%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10am lab - group 04,-76.8818380160713,40.9565340589675
132,Pine,c24ed13b-c024-497e-bfab-9a17116ed7d6,4/10/2025 5:27:32 PM,4/10/2025 6:03:04 PM,Good,Full,Yes,203.2,0.21,0.44,1.62,0.35,150.31,6191.21,0.28,1.82,568.18,29.03,33.78,31.95,NA,NA,NA,Built before 1950,0-6 meters,Northwest (315 deg),25.11,66.32,1.35,19.61,150.71,43.1,29.24,764.53,8.6,NA,NA,1pm lab - group 03,-76.8829754763588,40.9548615863662
133,Sugar Maple,6d935c2c-0bd6-43cd-95c1-84d4e45191f4,4/10/2025 5:27:47 PM,4/10/2025 5:59:38 PM,Fair,Full,Yes,273,17.12,35.9,131.62,0.24,99.6,4102.56,0.14,1.18,335.76,8.21,9.09,23.74,1418.73,2974.28,10905.68,Built before 1950,6-12 meters,Southwest (225%),21.62,12.02,1.69,19.48,149.7,33.51,29.04,759.44,2.36,NA,NA,1pm lab - group 01,-76.8840083943068,40.9545204926472
134,Sugar Maple,a9dfbe77-1728-44da-90c2-a6e502b1ea2d,4/10/2025 5:28:05 PM,4/10/2025 5:58:03 PM,Good,Partial,Yes,122.5,5.05,10.58,38.79,0.15,63.61,2620.05,0,0.65,183.86,4.48,4.98,12.86,275.46,577.49,2117.45,Built before 1950,12-18 meters,Northeast (45 deg),5.67,40.19,0.01,2.98,22.89,11.75,4.44,116.13,4.76,NA,NA,1pm lab - group 05,-76.8836835122961,40.9549363609794
135,Japanese Cherry,760335f8-9e66-4fb0-b9f3-74872557b0be,4/10/2025 5:28:19 PM,4/10/2025 6:00:27 PM,Good,Full,Yes,54,4.21,8.82,32.34,0.1,43.2,1779.52,0,0.44,80.95,1.68,2.31,2.78,37.35,78.29,287.08,Built between 1950 and 1980,12-18 meters,Northeast (45 deg),1.78,9.33,0.04,1.13,8.65,3.43,1.68,43.89,1.13,NA,NA,1pm lab - group 06,-76.8833585305724,40.9548600219037
136,Sugar Maple,2398d46e-a655-4500-b32a-99028d8c75e9,4/10/2025 5:29:37 PM,4/10/2025 6:06:49 PM,Good,Full,Yes,124,7.33,15.38,56.38,0.15,64.2,2644.93,0,0.65,185.82,4.53,5.03,13.02,226.78,475.43,1743.23,Built between 1950 and 1980,6-12 meters,Southeast (135 deg),18.32,32.63,1.17,15.21,116.92,30.18,22.68,593.11,4.51,NA,NA,1pm lab - group 06,-76.882995723487,40.9547315506444
137,Sugar Maple,6487275a-5e1b-4751-a42e-529e3dc09148,4/10/2025 5:30:46 PM,4/10/2025 6:00:54 PM,Good,Full,Yes,254,18.33,38.43,140.9,0.26,109.73,4519.74,0.14,1.12,336.91,8.4,9.06,26.02,1206.71,2529.8,9275.93,Built before 1950,6-12 meters,Southwest (225%),21.71,12.66,1.69,19.52,150.05,33.69,29.11,761.21,2.43,NA,NA,1pm lab - group 01,-76.8843669137333,40.9546803208241
138,Pine,5a039ac7-3c61-4bdd-bf7d-5606411d15c5,4/10/2025 5:31:25 PM,4/10/2025 6:12:38 PM,Good,Partial,Yes,142.24,4.61,9.67,35.44,0.25,103.92,4280.63,0.22,1.26,419.2,21.7,24.99,25.55,162.91,341.53,1252.28,Not within 60 feet of a building,0-6 meters,Northwest (315 deg),25.11,66.32,1.35,19.61,150.71,43.1,29.24,764.53,8.6,NA,NA,1pm lab - group 03,-76.8828279056155,40.9550011137438
139,Japanese Cherry,cc07b081-3409-4df0-ae27-9ec3c8a7fe93,4/10/2025 5:31:36 PM,4/10/2025 5:59:52 PM,Good,Full,Yes,77,6.94,14.54,53.32,0.16,66.57,2742.15,0,0.68,137.06,2.94,3.87,5.5,88.61,185.77,681.16,Not within 60 feet of a building,6-12 meters,Northeast (45 deg),-1.61,10.7,-0.26,2.12,-16.28,-1.57,-3.16,-82.58,1.12,NA,NA,1pm lab - group 06,-76.8833928021988,40.9548898810133
140,Sugar Maple,23756e48-c259-4841-9a6c-70d7c1079d83,4/10/2025 5:31:56 PM,4/10/2025 6:04:21 PM,Good,Partial,Yes,230,11.43,23.96,87.84,0.24,102.16,4207.88,0.14,1.04,311.87,7.76,8.39,23.86,1201.56,2518.99,9236.31,Built before 1950,12-18 meters,Northeast (45 deg),8.43,18.34,0.5,6.81,52.35,14.16,10.15,265.54,2.45,NA,NA,1pm lab - group 05,-76.8837773700736,40.9549748184778
141,Japanese Cherry,290b24eb-b3a4-4602-925a-f79e2b97b21d,4/10/2025 5:32:07 PM,4/10/2025 6:06:04 PM,Fair,Full,Yes,75,5.77,12.1,44.36,0.12,52.41,2158.73,0,0.62,106.1,2.14,3.06,3.25,83.61,175.28,642.7,Built before 1950,6-12 meters,Southwest (225%),10.81,5.89,0.85,9.75,74.92,16.75,14.53,380.06,1.17,NA,NA,1pm lab - group 01,-76.884306788593,40.9546210460976
142,Japanese Cherry,cc66106e-e5da-4475-854b-9f7d0eb18ff7,4/10/2025 5:33:43 PM,4/10/2025 6:12:50 PM,Fair,Full,Yes,161,0.29,0.6,2.19,1.13,477.51,19668.76,0.28,5.64,1022.12,21.07,29.26,34.36,3577.5,7500,27500,Built between 1950 and 1980,6-12 meters,Northeast (45 deg),4.18,26.73,0.04,2.36,18.16,8.43,3.52,92.15,3.19,NA,NA,1pm lab - group 06,-76.8835090706647,40.9549188296554
143,Black Maple,6481d3a6-945e-4cd5-a2ec-3b16c7afadaa,4/10/2025 5:33:48 PM,4/10/2025 6:13:24 PM,Fair,Full,Yes,181,13.67,28.65,105.06,0.17,73.7,3035.9,0.1,0.87,252.15,6.2,6.81,18.27,514.21,1078.01,3952.69,Built between 1950 and 1980,0-6 meters,Southwest (225%),15.81,37.03,0.91,12.62,96.99,26.76,18.82,492.04,4.89,NA,NA,1pm lab - group 06,-76.8827664267141,40.9547631744144
144,Sugar Maple,63d26856-201e-40ed-850c-6258196aee34,4/10/2025 5:34:19 PM,4/10/2025 6:17:49 PM,Fair,Full,Yes,218.44,0.29,0.6,2.19,0.35,148.89,6132.96,0.32,2.14,688.45,17.59,18.36,59.19,NA,NA,NA,Built between 1950 and 1980,12-18 meters,Southwest (225%),17.41,25.01,1.18,14.8,113.8,28.21,22.08,577.32,3.62,NA,NA,1pm lab - group 02,-76.8832625446859,40.9543611315261
145,Pin Oak,d1fb51c1-4a32-49f5-8a68-63b094b83d5a,4/10/2025 5:36:08 PM,4/10/2025 6:06:32 PM,Good,Partial,No,274.34,15.28,32.04,117.47,0.73,309.29,12739.86,0.32,3.15,852.89,20.43,23.23,55.23,NA,NA,NA,Not within 60 feet of a building,19 meters or more,Northwest (315 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1pm lab - group 03,-76.8827810548802,40.9549470984976
146,Sugar Maple,35c6b5bc-1ffa-443b-a720-b3504ef413ac,4/10/2025 5:37:13 PM,4/10/2025 6:02:02 PM,Good,Full,Yes,274,19.94,41.8,153.28,0.27,115.75,4767.79,0.15,1.18,354.2,8.82,9.52,27.2,1432.88,3003.95,11014.47,Built between 1950 and 1980,6-12 meters,Northeast (45 deg),5.67,40.19,0.01,2.98,22.89,11.75,4.44,116.13,4.76,NA,NA,1pm lab - group 06,-76.8832025587845,40.9547984365995
147,Flowering Dogwood,591c8c12-0699-4597-b1b6-2092fa871257,4/10/2025 5:38:59 PM,4/10/2025 6:05:03 PM,Good,Full,Yes,78.74,17.5,36.69,134.54,0.25,106.66,4393.37,0.14,1.09,327.15,8.15,8.79,25.22,1101.9,2310.07,8470.26,Built between 1950 and 1980,12-18 meters,Southwest (225%),17.43,23.92,1.2,14.89,114.44,28.16,22.2,580.55,3.49,NA,NA,1pm lab - group 02,-76.8834591275111,40.9544121553496
148,Japanese Cherry,809f27b5-8f53-4a7d-b317-a477bc539eb9,4/10/2025 5:41:42 PM,4/10/2025 6:37:25 PM,Good,Partial,Yes,76.2,0.4,0.83,3.05,0.43,182.49,7517,0,1.86,337.76,6.97,9.67,11.39,17.52,25.78,1.18,Built between 1950 and 1980,6-12 meters,Southwest (225%),17.52,25.78,1.18,14.86,114.22,28.44,22.16,579.45,3.71,NA,NA,1pm lab - group 02,-76.8836385857521,40.9544087231426
149,Japanese Cherry,4cf7de3a-0d84-4439-a112-e907bc0e8b44,4/10/2025 5:49:25 PM,4/10/2025 6:01:49 PM,Good,Partial,Yes,99,6.31,13.22,48.49,0.21,87.52,3604.91,0,0.89,167.56,3.5,4.78,5.97,204.27,428.23,1570.19,Built before 1950,6-12 meters,Northeast (45 deg),5.67,40.19,0.01,2.98,22.89,11.75,4.44,116.13,4.76,NA,NA,1pm lab - group 05,-76.8838878987861,40.9550337747033
